Species.n Year  Rec SSB TSB SOP SOP.hat SOP.core Yield Yield.hat Yield.core mean.F Eaten
18 2003  622048 241928 271707 74350.3 87740.9 74350.3 74350.3 87740.9 74350.3 0.358819 0
18 2004  532104 163702 188566 72513.1 65465.9 72513.1 72513.1 65465.9 72513.1 0.39739 0
18 2005  3.97186e+06 117192 137746 64115.2 47715 64115.2 64115.2 47715 64115.2 0.41467 0
18 2006  868389 87449.8 202368 66967.2 58279.5 66967.2 66967.2 58279.5 66967.2 0.660242 0
18 2007  610401 128960 185406 67425.3 60429.1 67425.3 67425.3 60429.1 67425.3 0.60087 0
18 2008  459588 124123 149620 49900.4 46747.8 49900.4 49900.4 46747.8 49900.4 0.403033 0
18 2009  3.34331e+06 88278.6 106960 46492.1 34193.5 46492.1 46492.1 34193.5 46492.1 0.369327 0
18 2010  353422 81669.1 180886 41303.5 35761.8 41303.5 41303.5 35761.8 41303.5 0.408322 0
18 2011  167500 122026 164891 42868 42703.2 42868 42868 42703.2 42868 0.378996 0
18 2012  366452 132283 142890 42919.8 43749.2 42919.8 42919.8 43749.2 42919.8 0.323914 0
18 2013  304955 100015 112852 46685.3 31805.5 46685.3 46685.3 31805.5 46685.3 0.286448 0
18 2014  2.58896e+06 73323 86489.2 45914.5 35384.7 45914.5 45914.5 35384.7 45914.5 0.457947 0
18 2015  594862 59759.6 140314 41474.8 42647.7 41474.8 41474.8 42647.7 41474.8 0.671811 0
18 2016  937213 90358.3 136616 42943.5 52756.7 42943.5 42943.5 52756.7 42943.5 0.529134 0
18 2017  445563 107619 144784 40861.1 49895.8 40861.1 40861.1 49895.8 40861.1 0.474808 0
18 2018  1.06584e+06 92671.2 118049 39694 43720.4 39694 39694 43720.4 39694 0.453549 0
18 2019  4.90168e+06 79932.5 119779 36305.3 37912.4 36305.3 36305.3 37912.4 36305.3 0.452729 0
18 2020  4.58927e+06 93445.6 264363 38943.8 43201.1 38943.8 38943.8 43201.1 38943.8 0.367699 0
18 2021  1.26053e+06 193938 411860 44128.5 55900.1 44128.5 44128.5 55900.1 44128.5 0.240271 0
18 2022  2.33155e+06 319055 433023 56889.5 46351.5 56889.5 56889.5 46351.5 56889.5 0.130493 0
18 2023  NA 397067 NA NA NA NA NA NA NA NA NA
19 1974  274687 561742 871860 341457 277550 341457 341457 277550 341457 0.461703 0
19 1975  154852 490868 844834 308362 275043 308362 308362 275043 308362 0.52956 0
