

Observed catches

Species:  



         0         0         0         0         0         0         0         0         0
         1         0         0         0         0         0         0         0         0
         2         0         0         0         0         0         0         0         0
         3     63454     71710     28617     58813     31034     41461     17208     23380
         4     23416     35719     40193     24905     48062     31130     46468     23077
         5     12154      8016     13691     12715     13992     15884     12653     32395
         6      4826      3669      3269      3199      4399      3864      7915      3763
         7      2803      1733      1539      1583       957      3529      3194      2666
         8       762       976       712      1547       354       690       827      1036
         9       288       376       531       835       438       566       215       299
        10       368       463       426      1037       803       809       496       292

Yield         126902    133739    117430    135112    128816    143477    130551    121523


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0         0         0         0         0         0         0         0         0
         1         0         0         0         0         0         0         0         0
         2         0         0         0         0         0         0         0         0
         3     16113     14661     10985     24961     17570     28296     13642     12690
         4     37088     16588     20680     21100     37489     31752     24479     15473
         5     17570     28645      9597     24068     14736     20631     15649     19060
         6     16459      8588     12632      3429     13731      6836     15220     20042
         7      2253     10169      3190      3621      2309      6855      2037      7956
         8      1234      2401      3302      1814      2544      1535      2164      1628
         9       581       914       657      1655      1321      2000      1300      1188
        10       280       665       446       248      1575      2042      1066      1151

Yield         118480    120395     94676    104100    129849    121658    113792    119234


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0         0         0         0         0         0         0         0         0
         1         0         0         0         0         0         0         0         0
         2         0         0         0         0         0         0         0         0
         3     17313     24614      7620      7438      8766     12786     14334      7267
         4     31972     13314     30911     15507      9249     24269     13053     30318
         5     10381     20919     12540     14222      9440      8980     16948      5312
         6     11286      7175     14941      5847      6511      3674      4075      7869
         7      8395      5564      5088      8512      2671      2867      1977      1890
         8      3824      3610      3285      2994      4773      1208      1268      1241
         9      1008      1218      3551      1519      1679      1564       541       616
        10      1281       930      3118      2945      2707      3877      2611      1658

Yield         128711    106333    129887    114519    104723    102008     87049     87270


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0         0         0         0         0         0         0         0         0
         1         0         0         0         0         0         0         0         0
         2         0         0         0         0         0         0         0         0
         3      4055      8369      7382      4977      2603      6240      2511      6129
         4     14322      8323     14241     18989     16250      8570     11823      6236
         5     15195     14259      9661      9773     18858     14841      7627      4910
         6      3957      8254      5729      6247      7376     10394      7436      2899
         7      4124      1862      2758      5364      2142      2881      4246      2924
         8      1040      1623      1430      1876      2027      1127       967      1061
         9       429       715       853       820       978      1027       381       347
        10      1389       977      1317      1113      1178      1236       627       695

Yield          82172     81447     77671     94585     95446     96646     76820     50951
Species:  



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0     47193     58101     23003      7828     18239     42791     33101     56682
         1     59872    185902    189916     50361     27405     65011    411327    276229
         2     42351    111305    286783    196229     83212     46101    393025    502365
         3    229149     81870    178547    308123    337155    145558     64549    231814
